Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0025061,-0.0025058,0.064711,0,0,0,0.18492,0.00023882,1.6596E-06,3.7747E-07,0.00023882,3.7901E-07,6.8442E-05,0,0,0,0,0,0,package://air_wrist_ros/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://air_wrist_ros/meshes/base_link.STL,,base_link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
base_x,3.4694E-18,-7.6328E-17,3.2092E-16,0,0,0,0.0057459,7.8242E-08,-1.0796E-22,-4.0384E-23,7.6638E-08,6.4201E-10,7.5896E-08,0,0,0,0,0,0,package://air_wrist_ros/meshes/base_x.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://air_wrist_ros/meshes/base_x.STL,,xbase_cross-1,Origin_base_xj,,base_xj,fixed,0.04,-0.0225,0,2.8798,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
base_y,1.0408E-17,-4.7878E-16,-1.112E-15,0,0,0,0.0057459,7.8242E-08,-1.8379E-17,1.4312E-17,7.7008E-08,-8.9423E-13,7.5526E-08,0,0,0,0,0,0,package://air_wrist_ros/meshes/base_y.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://air_wrist_ros/meshes/base_y.STL,,ybase_cross-1,Origin_base_yj,,base_yj,fixed,0,-0.0225,0.04,1.9641,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
roll_cardan,1.4118E-08,-1.4882E-08,1.9978E-08,0,0,0,0.013068,3.0076E-06,2.5944E-12,3.3722E-12,3.0076E-06,-1.7367E-14,5.7134E-06,0,0,0,0,0,0,package://air_wrist_ros/meshes/roll_cardan.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://air_wrist_ros/meshes/roll_cardan.STL,,main_cross-1,Origin_roll_j,Axis_roll_j,roll_j,revolute,0,-0.1845,0,1.5708,-0.7854,0,base_link,1,0,0,0,0,-0.79831,0.79831,,,,,,,,
top_pitch,0.0019886,0.0019886,0.027456,0,0,0,0.056375,2.3625E-05,-3.3938E-07,-2.6419E-08,2.3625E-05,-2.6417E-08,4.4801E-05,0,0,0,0,0,0,package://air_wrist_ros/meshes/top_pitch.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://air_wrist_ros/meshes/top_pitch.STL,,hand_base-1,Origin_pitch_j,Axis_pitch_j,pitch_j,revolute,0,0,0,0,0,-0.7854,roll_cardan,0.70711,-0.70711,0,0,0,-0.7765,0.7765,,,,,,,,
top_x,0,-1.7035E-15,-1.7417E-15,0,0,0,0.0057459,7.8242E-08,4.4796E-23,8.0996E-23,7.5526E-08,-5.6248E-23,7.7008E-08,0,0,0,0,0,0,package://air_wrist_ros/meshes/top_x.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://air_wrist_ros/meshes/top_x.STL,,xpiston_cross-1,Origin_top_xj,,top_xj,fixed,0.04,0,0,2.3562,1.5708,0,top_pitch,0,0,0,,,,,,,,,,,,
top_y,5.5511E-17,-2.158E-15,2.1684E-15,0,0,0,0.0057459,7.8242E-08,9.4579E-23,1.1731E-22,7.5526E-08,-2.647E-23,7.7008E-08,0,0,0,0,0,0,package://air_wrist_ros/meshes/top_y.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://air_wrist_ros/meshes/top_y.STL,,ypiston_cross-1,Origin_top_yj,,top_yj,fixed,0,0.04,0,2.3562,1.5708,0,top_pitch,0,0,0,,,,,,,,,,,,
yaw_top,0.0027885,-0.0027266,0.10755,0,0,0,0.28988,0.00021505,-2.243E-08,2.722E-07,0.0002927,1.1532E-05,0.00016683,0,0,0,0,0,0,package://air_wrist_ros/meshes/yaw_top.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://air_wrist_ros/meshes/yaw_top.STL,,hand-1,Origin_yaw_j,Axis_yaw_j,yaw_j,continuous,0,0,0.024997,0,0,-2.2473,top_pitch,0,0,1,,,,,,,,,,,,
